自,至,春,夏,秋,冬
superior,michigan,3.03487623,6.52960117,5.713423127,4.45902907
superior,huron,3.345806155,5.677172164,12.25353532,6.801006776
superior,erie,3.134856456,5.72237095,5.285285652,5.428110455
superior,ontario,3.438858866,3.071839385,4.242624428,3.343406198
michigan,superior,2.585609568,7.335400022,6.514379606,5.29730543
michigan,erie,3.162246965,6.788219768,6.81846776,5.285165032
michigan,ontario,3.282212701,4.061446055,4.717868203,3.477098944
huron,superior,4.491648975,9.03996582,8.338811289,6.182931247
huron,erie,4.958333178,7.665677022,8.3777769,6.956634573
huron,ontario,5.432996409,5.881904787,6.062802739,4.274385091
erie,superior,2.502852092,5.71847132,5.704797398,4.733702515
erie,michigan,2.605481818,7.056117243,5.916354216,4.30456536
erie,huron,3.610583052,5.340654615,7.206119571,5.419186749
erie,ontario,3.632938752,4.167198729,5.24042923,4.327681128
ontario,superior,2.847111075,4.065753833,3.765048169,4.438898942
ontario,michigan,2.94225368,5.607592349,4.077107042,4.112877419
ontario,huron,2.929287556,4.694462796,4.911622253,4.946925519
ontario,erie,2.850115501,4.065753833,3.765048169,4.440964188
