"","低温","高温","降水","均温","露点","风速","云盖","水温","蒸发","径流","水位"
"低温",1,0.995763142955955,0.437378051298758,0.996036242263788,0.995031848486586,-0.775566055181029,-0.823854437978364,0.931136979054735,0.282093754596025,-0.446005283713982,0.367333762154131
"高温",0.995763142955955,1,0.404304996350854,0.997540564487888,0.991794122668271,-0.78458789293761,-0.851681713836453,0.924666692749783,0.272699750171454,-0.4414204022838,0.370699366884496
"降水",0.437378051298758,0.404304996350854,1,0.389682838079056,0.41751778750634,-0.132707503023279,-0.0110141866288743,0.278812526607371,-0.117788810724366,0.0520302773482228,0.181096282510711
"均温",0.996036242263788,0.997540564487888,0.389682838079056,1,0.994557007978169,-0.788654236637994,-0.844069051965844,0.935870455057188,0.283896217333644,-0.460247911918363,0.373368196423816
"露点",0.995031848486586,0.991794122668271,0.41751778750634,0.994557007978169,1,-0.778040206520986,-0.819868987050178,0.947865447973505,0.317959845247518,-0.464817149383628,0.354170637296422
"风速",-0.775566055181029,-0.78458789293761,-0.132707503023279,-0.788654236637994,-0.778040206520986,1,0.773087656970608,-0.785850729319634,-0.429845789639371,0.474270091795555,-0.293249677884554
"云盖",-0.823854437978364,-0.851681713836453,-0.0110141866288743,-0.844069051965844,-0.819868987050178,0.773087656970608,1,-0.801812117715954,-0.258513323611744,0.404152618808887,-0.346790554963112
"水温",0.931136979054735,0.924666692749783,0.278812526607371,0.935870455057188,0.947865447973505,-0.785850729319634,-0.801812117715954,1,0.536822561641221,-0.570073018232543,0.285926378926075
"蒸发",0.282093754596025,0.272699750171454,-0.117788810724366,0.283896217333644,0.317959845247518,-0.429845789639371,-0.258513323611744,0.536822561641221,1,-0.531712465362286,-0.0999324214597979
"径流",-0.446005283713982,-0.4414204022838,0.0520302773482228,-0.460247911918363,-0.464817149383628,0.474270091795555,0.404152618808887,-0.570073018232543,-0.531712465362286,1,0.01546839839507
"水位",0.367333762154131,0.370699366884496,0.181096282510711,0.373368196423816,0.354170637296422,-0.293249677884554,-0.346790554963112,0.285926378926075,-0.0999324214597979,0.01546839839507,1
