"","低温","高温","降水","均温","露点","风速","云盖","水温","蒸发","径流","水位"
"低温",1,0.993714536696022,0.521646915084909,0.991373326530882,0.988934067160453,-0.73165123712565,-0.832685430915543,0.889384985150601,-0.41200744677804,-0.42775529948526,0.274087847677472
"高温",0.993714536696022,1,0.472297397264054,0.994510840492072,0.986434436015787,-0.725774793575422,-0.863288012638561,0.862697617144616,-0.47765913503372,-0.397318096892489,0.258861974142186
"降水",0.521646915084909,0.472297397264054,1,0.478107900710441,0.51434840819283,-0.32588325884452,-0.148077664154704,0.490452530295153,0.0097921686135395,-0.18068940431603,0.142818738702813
"均温",0.991373326530882,0.994510840492072,0.478107900710441,1,0.995249588319158,-0.687410174789135,-0.848787435971466,0.874867344281358,-0.451719016391122,-0.407139317323698,0.263848917716386
"露点",0.988934067160453,0.986434436015787,0.51434840819283,0.995249588319158,1,-0.692795815473972,-0.817269040169498,0.890062803987692,-0.414852269749661,-0.424712164362983,0.252594037077035
"风速",-0.73165123712565,-0.725774793575422,-0.32588325884452,-0.687410174789135,-0.692795815473972,1,0.706615463389131,-0.721140725109461,0.187035271233418,0.395139923144935,-0.171608715768733
"云盖",-0.832685430915543,-0.863288012638561,-0.148077664154704,-0.848787435971466,-0.817269040169498,0.706615463389131,1,-0.749968251159711,0.443337678575755,0.320841815597077,-0.220675039519969
"水温",0.889384985150601,0.862697617144616,0.490452530295153,0.874867344281358,0.890062803987692,-0.721140725109461,-0.749968251159711,1,-0.0557068711333257,-0.583976827778828,0.233432604073292
"蒸发",-0.41200744677804,-0.47765913503372,0.0097921686135395,-0.451719016391122,-0.414852269749661,0.187035271233418,0.443337678575755,-0.0557068711333257,1,-0.21258176286079,-0.0997617734763886
"径流",-0.42775529948526,-0.397318096892489,-0.18068940431603,-0.407139317323698,-0.424712164362983,0.395139923144935,0.320841815597077,-0.583976827778828,-0.21258176286079,1,-0.151594959616068
"水位",0.274087847677472,0.258861974142186,0.142818738702813,0.263848917716386,0.252594037077035,-0.171608715768733,-0.220675039519969,0.233432604073292,-0.0997617734763886,-0.151594959616068,1
