"","低温","高温","降水","均温","露点","风速","云盖","水温","蒸发","径流","水位"
"低温",1,0.993226516730759,0.474427305271262,0.997251290138726,0.995650290810301,-0.761093936853003,-0.732547008621404,0.866329342750269,-0.44937557813939,-0.119000331252909,0.243790783166368
"高温",0.993226516730759,1,0.457834444337492,0.996846284335711,0.987222414263717,-0.750461061903154,-0.758350426689463,0.836988893134094,-0.493455064278556,-0.0938338974029952,0.218740271736576
"降水",0.474427305271262,0.457834444337492,1,0.454619190790789,0.47711232849356,-0.17059714735055,-0.178129413647732,0.317446759427403,-0.293368332298067,0.267330623782891,0.131570872389027
"均温",0.997251290138726,0.996846284335711,0.454619190790789,1,0.993475999246175,-0.769607409608437,-0.760054608597494,0.862851074037453,-0.45353903827668,-0.125526357289841,0.247572705346853
"露点",0.995650290810301,0.987222414263717,0.47711232849356,0.993475999246175,1,-0.779782854523741,-0.715093789614833,0.889427912973275,-0.424563495326963,-0.141037404117993,0.245250487761312
"风速",-0.761093936853003,-0.750461061903154,-0.17059714735055,-0.769607409608437,-0.779782854523741,1,0.741573585461586,-0.783567702460033,0.196921288578932,0.215465108546246,-0.262826558549023
"云盖",-0.732547008621404,-0.758350426689463,-0.178129413647732,-0.760054608597494,-0.715093789614833,0.741573585461586,1,-0.611562662597241,0.300370541452563,0.058355140351739,-0.303292840895712
"水温",0.866329342750269,0.836988893134094,0.317446759427403,0.862851074037453,0.889427912973275,-0.783567702460033,-0.611562662597241,1,0.000617641179708863,-0.425145692606501,0.209814847716585
"蒸发",-0.44937557813939,-0.493455064278556,-0.293368332298067,-0.45353903827668,-0.424563495326963,0.196921288578932,0.300370541452563,0.000617641179708863,1,-0.486125814925082,-0.092519352498189
"径流",-0.119000331252909,-0.0938338974029952,0.267330623782891,-0.125526357289841,-0.141037404117993,0.215465108546246,0.058355140351739,-0.425145692606501,-0.486125814925082,1,-0.021518054046931
"水位",0.243790783166368,0.218740271736576,0.131570872389027,0.247572705346853,0.245250487761312,-0.262826558549023,-0.303292840895712,0.209814847716585,-0.092519352498189,-0.021518054046931,1
