"","低温","高温","降水","均温","露点","风速","云盖","水温","蒸发","径流","水位"
"低温",1,0.992994801500328,0.162674325672828,0.996021594902959,0.996050062553574,-0.810989870585949,-0.744459232167922,0.887390854369581,-0.329306644706121,-0.457161982615524,0.436735531299202
"高温",0.992994801500328,1,0.114844646500829,0.996605903465656,0.986097066501245,-0.803975208310175,-0.793046866466536,0.86451019646855,-0.368489982651921,-0.428953848016954,0.472166382344087
"降水",0.162674325672828,0.114844646500829,1,0.132726358576715,0.195724534426559,-0.0374549120020702,0.220688321497887,0.15498227360669,0.0320258522986959,0.152427095821405,0.00262389039299159
"均温",0.996021594902959,0.996605903465656,0.132726358576715,1,0.99162203284333,-0.801964053180817,-0.780696847838913,0.877114194789071,-0.34761452112939,-0.454555106021925,0.459243863815923
"露点",0.996050062553574,0.986097066501245,0.195724534426559,0.99162203284333,1,-0.820052929768403,-0.726227827746182,0.903695402523838,-0.298347703298328,-0.468489165530563,0.41184374185331
"风速",-0.810989870585949,-0.803975208310175,-0.0374549120020702,-0.801964053180817,-0.820052929768403,1,0.718670299869808,-0.814332812989519,0.141607169974051,0.433957023197578,-0.275959853729613
"云盖",-0.744459232167922,-0.793046866466536,0.220688321497887,-0.780696847838913,-0.726227827746182,0.718670299869808,1,-0.697622925595805,0.202461914197265,0.388705199870649,-0.388405530734686
"水温",0.887390854369581,0.86451019646855,0.15498227360669,0.877114194789071,0.903695402523838,-0.814332812989519,-0.697622925595805,1,0.0988367597160183,-0.637297738219474,0.147952293767031
"蒸发",-0.329306644706121,-0.368489982651921,0.0320258522986959,-0.34761452112939,-0.298347703298328,0.141607169974051,0.202461914197265,0.0988367597160183,1,-0.283784374058083,-0.690005614097623
"径流",-0.457161982615524,-0.428953848016954,0.152427095821405,-0.454555106021925,-0.468489165530563,0.433957023197578,0.388705199870649,-0.637297738219474,-0.283784374058083,1,0.136057834549744
"水位",0.436735531299202,0.472166382344087,0.00262389039299159,0.459243863815923,0.41184374185331,-0.275959853729613,-0.388405530734686,0.147952293767031,-0.690005614097623,0.136057834549744,1
