"","低温","高温","降水","均温","露点","风速","云盖","水温","蒸发","径流","水位"
"低温",1,0.995763142955955,0.437378051298758,0.996036242263788,0.995031848486586,-0.775566055181029,-0.823854437978364,0.755965916119237,-0.638417066042434,0.0770023714102459,0.315763502960444
"高温",0.995763142955955,1,0.404304996350854,0.997540564487888,0.991794122668271,-0.78458789293761,-0.851681713836453,0.746998619994075,-0.653559310522583,0.110251469440982,0.306915213587032
"降水",0.437378051298758,0.404304996350854,1,0.389682838079056,0.41751778750634,-0.132707503023279,-0.0110141866288743,0.128071606718962,-0.322820891668014,0.218900353496402,0.0607023793614124
"均温",0.996036242263788,0.997540564487888,0.389682838079056,1,0.994557007978169,-0.788654236637994,-0.844069051965844,0.763176227925673,-0.641201626604985,0.0750136656168735,0.320428353230105
"露点",0.995031848486586,0.991794122668271,0.41751778750634,0.994557007978169,1,-0.778040206520986,-0.819868987050178,0.784655315260466,-0.614033710514048,0.0440696648454702,0.330043252148316
"风速",-0.775566055181029,-0.78458789293761,-0.132707503023279,-0.788654236637994,-0.778040206520986,1,0.773087656970608,-0.769565811081462,0.375077295404954,0.105691025853583,-0.30432254257868
"云盖",-0.823854437978364,-0.851681713836453,-0.0110141866288743,-0.844069051965844,-0.819868987050178,0.773087656970608,1,-0.686431781195229,0.585611222167065,-0.0582680234660632,-0.255581878078458
"水温",0.755965916119237,0.746998619994075,0.128071606718962,0.763176227925673,0.784655315260466,-0.769565811081462,-0.686431781195229,1,-0.156311741943276,-0.309213758848142,0.338445854716571
"蒸发",-0.638417066042434,-0.653559310522583,-0.322820891668014,-0.641201626604985,-0.614033710514048,0.375077295404954,0.585611222167065,-0.156311741943276,1,-0.353053434418466,-0.0211144512415408
"径流",0.0770023714102459,0.110251469440982,0.218900353496402,0.0750136656168735,0.0440696648454702,0.105691025853583,-0.0582680234660632,-0.309213758848142,-0.353053434418466,1,0.0394212708403948
"水位",0.315763502960444,0.306915213587032,0.0607023793614124,0.320428353230105,0.330043252148316,-0.30432254257868,-0.255581878078458,0.338445854716571,-0.0211144512415408,0.0394212708403948,1
