"","S均温","S露点","S风速","S云盖","S水温","S出MH入","M均温","M露点","M风速","M云盖","M水温","H均温","H露点","H云盖","H水温","MH出","E入","E均温","E露点","E风速","E云盖","E水温","E出O入","O均温","O露点","O风速","O云盖","O蒸发","O出"
"S均温",1,0.890461991838708,-0.485388201597941,0.0531495634159251,0.573355832742762,0.297442654491635,0.9552435328998,0.929807005716116,-0.550591142215747,0.0437815493201679,0.715067521230952,0.948602244191644,0.840131038339789,-0.0750005846854719,0.715067521230952,0.00974689867837976,-0.00193131115855635,1,0.890461991838708,-0.485388201597941,0.0531495634159251,0.741887325173074,-0.00980893441374356,0.936135531396263,0.800483308061259,-0.305716886778558,-0.0959691085440497,0.151786662849003,-0.053386953142327
"S露点",0.890461991838708,1,-0.718324840077354,0.156537810923137,0.759055689283829,0.499906979164758,0.832528480443165,0.988721613308518,-0.787893807742048,0.255016340246688,0.867723329107029,0.930341265425261,0.964896316895208,0.233962729114668,0.867723329107029,0.151479124044761,0.105156027838151,0.890461991838708,1,-0.718324840077354,0.156537810923137,0.902112584486774,0.0722078827835542,0.959102853803815,0.920966487346492,-0.433567723324123,-0.0477554859943657,0.395765354242302,0.0114953457306602
"S风速",-0.485388201597941,-0.718324840077354,1,0.069084521191103,-0.88345945654097,-0.254066264893807,-0.526849498800764,-0.713633543995033,0.922578655369258,-0.185934622945929,-0.906512795901215,-0.657761712479961,-0.779348156581049,-0.408062565371686,-0.906512795901215,0.0308541090089647,0.0794561791317424,-0.485388201597941,-0.718324840077354,1,0.069084521191103,-0.906613207211456,0.146953789804172,-0.729670242255882,-0.788565633347273,0.69494364609956,0.386002295762695,-0.793868308293472,0.166266234060531
"S云盖",0.0531495634159251,0.156537810923137,0.069084521191103,1,-0.00869803024528919,0.789835129423939,-0.159760573087905,0.156883615251841,0.0349744423533683,0.863849026686424,0.0434025190195665,0.0555527360902633,0.0199506109433663,0.580012490680268,0.0434025190195665,0.171595956363019,0.0933007900978303,0.0531495634159251,0.156537810923137,0.069084521191103,1,0.081974053882239,0.0696054254710098,0.0499936754373664,-0.124463303539897,0.653282592952254,0.393896925379662,-0.0839393498105265,-0.0486326785592198
"S水温",0.573355832742762,0.759055689283829,-0.88345945654097,-0.00869803024528919,1,0.154649476225165,0.662999238498693,0.752548067488155,-0.870099745157793,0.0821780510434198,0.957483671613923,0.772461904975857,0.852718228114808,0.454047789320927,0.957483671613923,-0.289772918580872,-0.343301094835843,0.573355832742762,0.759055689283829,-0.88345945654097,-0.00869803024528919,0.941534220218081,-0.410733033956425,0.739627376497099,0.783568421938608,-0.59871291017778,-0.170889852926994,0.861512539085836,-0.443348390612347
"S出MH入",0.297442654491635,0.499906979164758,-0.254066264893807,0.789835129423939,0.154649476225165,1,0.0471314043716199,0.474491436224786,-0.368176236039472,0.871870275173529,0.254197401920072,0.260515489016443,0.310955790812457,0.378331318847621,0.254197401920072,0.485678180753691,0.408397716835021,0.297442654491635,0.499906979164758,-0.254066264893807,0.789835129423939,0.323439932245127,0.385118171696884,0.353629893907837,0.219026835385105,0.226724437328513,0.0746533655473165,-0.0630639532514261,0.295569509668307
"M均温",0.9552435328998,0.832528480443165,-0.526849498800764,-0.159760573087905,0.662999238498693,0.0471314043716199,1,0.874471438852223,-0.553082654974296,-0.184606214904539,0.754693819800258,0.949674194789346,0.848413678433733,-0.102578771530069,0.754693819800258,-0.166571255781157,-0.163542852726454,0.9552435328998,0.832528480443165,-0.526849498800764,-0.159760573087905,0.759549279747419,-0.177235547831407,0.901270606810931,0.8124532489974,-0.446207054054815,-0.149547979224434,0.306865577195162,-0.200283008920913
"M露点",0.929807005716116,0.988721613308518,-0.713633543995033,0.156883615251841,0.752548067488155,0.474491436224786,0.874471438852223,1,-0.770830346267908,0.251062385639729,0.872543692413414,0.950477919941282,0.944991737097524,0.191540692331083,0.872543692413414,0.11847677442626,0.0783255023942254,0.929807005716116,0.988721613308518,-0.713633543995033,0.156883615251841,0.901940251328978,0.0427841076352375,0.972773762825063,0.896972722066943,-0.428051730195109,-0.0929677045719519,0.389630349354162,-0.0154337120527033
"M风速",-0.550591142215747,-0.787893807742048,0.922578655369258,0.0349744423533683,-0.870099745157793,-0.368176236039472,-0.553082654974296,-0.770830346267908,1,-0.239899592767865,-0.878585704351171,-0.668213908377265,-0.796261978618802,-0.279591116637976,-0.878585704351171,-0.0530875654964932,0.00272922337994104,-0.550591142215747,-0.787893807742048,0.922578655369258,0.0349744423533683,-0.887253676100977,0.0620280739171955,-0.734947379746749,-0.783663680069984,0.725272890920586,0.335373433632929,-0.678209039900576,0.0698069563655777
"M云盖",0.0437815493201679,0.255016340246688,-0.185934622945929,0.863849026686424,0.0821780510434198,0.871870275173529,-0.184606214904539,0.251062385639729,-0.239899592767865,1,0.179416308832612,0.0311126419810177,0.093684283412395,0.609541534122944,0.179416308832612,0.509591162838684,0.428187389226082,0.0437815493201679,0.255016340246688,-0.185934622945929,0.863849026686424,0.215483810798072,0.37839064585962,0.119035354071353,0.0201636722725434,0.290605710940013,0.287997776027952,0.0650793152279912,0.281190084914446
"M水温",0.715067521230952,0.867723329107029,-0.906512795901215,0.0434025190195665,0.957483671613923,0.254197401920072,0.754693819800258,0.872543692413414,-0.878585704351171,0.179416308832612,1,0.865753175626188,0.926682757361114,0.445770214616582,1,-0.10725450772355,-0.15917820064822,0.715067521230952,0.867723329107029,-0.906512795901215,0.0434025190195665,0.995434693724267,-0.223623355341773,0.870946404909715,0.890323499011571,-0.584797237037828,-0.1173998236501,0.767082787744504,-0.271751204255285
"H均温",0.948602244191644,0.930341265425261,-0.657761712479961,0.0555527360902633,0.772461904975857,0.260515489016443,0.949674194789346,0.950477919941282,-0.668213908377265,0.0311126419810177,0.865753175626188,1,0.94377192569891,0.142690855571096,0.865753175626188,-0.144877290327398,-0.173694813141741,0.948602244191644,0.930341265425261,-0.657761712479961,0.0555527360902633,0.883679227087009,-0.197095318075866,0.972173747304128,0.890403455045001,-0.368844419087329,-0.0998008704620023,0.403565146229385,-0.250848349473118
"H露点",0.840131038339789,0.964896316895208,-0.779348156581049,0.0199506109433663,0.852718228114808,0.310955790812457,0.848413678433733,0.944991737097524,-0.796261978618802,0.093684283412395,0.926682757361114,0.94377192569891,1,0.296823480974527,0.926682757361114,-0.00658398639771202,-0.0495596666682894,0.840131038339789,0.964896316895208,-0.779348156581049,0.0199506109433663,0.945919138952143,-0.0856746338048398,0.949734062956302,0.968819591143029,-0.509785551137931,-0.0420237084683733,0.54291825238647,-0.139968388547313
"H云盖",-0.0750005846854719,0.233962729114668,-0.408062565371686,0.580012490680268,0.454047789320927,0.378331318847621,-0.102578771530069,0.191540692331083,-0.279591116637976,0.609541534122944,0.445770214616582,0.142690855571096,0.296823480974527,1,0.445770214616582,0.0550245373330651,-0.0292605863987574,-0.0750005846854719,0.233962729114668,-0.408062565371686,0.580012490680268,0.435444033310608,-0.101634372596116,0.142087182467123,0.231604101433798,0.110205150568855,0.472249050854888,0.616110539197229,-0.20957899488738
"H水温",0.715067521230952,0.867723329107029,-0.906512795901215,0.0434025190195665,0.957483671613923,0.254197401920072,0.754693819800258,0.872543692413414,-0.878585704351171,0.179416308832612,1,0.865753175626188,0.926682757361114,0.445770214616582,1,-0.10725450772355,-0.15917820064822,0.715067521230952,0.867723329107029,-0.906512795901215,0.0434025190195665,0.995434693724267,-0.223623355341773,0.870946404909715,0.890323499011571,-0.584797237037828,-0.1173998236501,0.767082787744504,-0.271751204255285
"MH出",0.00974689867837976,0.151479124044761,0.0308541090089647,0.171595956363019,-0.289772918580872,0.485678180753691,-0.166571255781157,0.11847677442626,-0.0530875654964932,0.509591162838684,-0.10725450772355,-0.144877290327398,-0.00658398639771202,0.0550245373330651,-0.10725450772355,1,0.994010328582352,0.00974689867837976,0.151479124044761,0.0308541090089647,0.171595956363019,-0.0680018919587352,0.983200221156124,0.0237501368813152,0.0886380376014769,-0.0971707481168674,0.28625942322161,-0.280612674840408,0.958029183703391
"E入",-0.00193131115855635,0.105156027838151,0.0794561791317424,0.0933007900978303,-0.343301094835843,0.408397716835021,-0.163542852726454,0.0783255023942254,0.00272922337994104,0.428187389226082,-0.15917820064822,-0.173694813141741,-0.0495596666682894,-0.0292605863987574,-0.15917820064822,0.994010328582352,1,-0.00193131115855635,0.105156027838151,0.0794561791317424,0.0933007900978303,-0.122971803409618,0.994205162667609,-0.00837091986971283,0.055900004615665,-0.111848158186806,0.258926866710849,-0.323906308700704,0.97924889682998
"E均温",1,0.890461991838708,-0.485388201597941,0.0531495634159251,0.573355832742762,0.297442654491635,0.9552435328998,0.929807005716116,-0.550591142215747,0.0437815493201679,0.715067521230952,0.948602244191644,0.840131038339789,-0.0750005846854719,0.715067521230952,0.00974689867837976,-0.00193131115855635,1,0.890461991838708,-0.485388201597941,0.0531495634159251,0.741887325173074,-0.00980893441374356,0.936135531396263,0.800483308061259,-0.305716886778558,-0.0959691085440497,0.151786662849003,-0.053386953142327
"E露点",0.890461991838708,1,-0.718324840077354,0.156537810923137,0.759055689283829,0.499906979164758,0.832528480443165,0.988721613308518,-0.787893807742048,0.255016340246688,0.867723329107029,0.930341265425261,0.964896316895208,0.233962729114668,0.867723329107029,0.151479124044761,0.105156027838151,0.890461991838708,1,-0.718324840077354,0.156537810923137,0.902112584486774,0.0722078827835542,0.959102853803815,0.920966487346492,-0.433567723324123,-0.0477554859943657,0.395765354242302,0.0114953457306602
"E风速",-0.485388201597941,-0.718324840077354,1,0.069084521191103,-0.88345945654097,-0.254066264893807,-0.526849498800764,-0.713633543995033,0.922578655369258,-0.185934622945929,-0.906512795901215,-0.657761712479961,-0.779348156581049,-0.408062565371686,-0.906512795901215,0.0308541090089647,0.0794561791317424,-0.485388201597941,-0.718324840077354,1,0.069084521191103,-0.906613207211456,0.146953789804172,-0.729670242255882,-0.788565633347273,0.69494364609956,0.386002295762695,-0.793868308293472,0.166266234060531
"E云盖",0.0531495634159251,0.156537810923137,0.069084521191103,1,-0.00869803024528919,0.789835129423939,-0.159760573087905,0.156883615251841,0.0349744423533683,0.863849026686424,0.0434025190195665,0.0555527360902633,0.0199506109433663,0.580012490680268,0.0434025190195665,0.171595956363019,0.0933007900978303,0.0531495634159251,0.156537810923137,0.069084521191103,1,0.081974053882239,0.0696054254710098,0.0499936754373664,-0.124463303539897,0.653282592952254,0.393896925379662,-0.0839393498105265,-0.0486326785592198
"E水温",0.741887325173074,0.902112584486774,-0.906613207211456,0.081974053882239,0.941534220218081,0.323439932245127,0.759549279747419,0.901940251328978,-0.887253676100977,0.215483810798072,0.995434693724267,0.883679227087009,0.945919138952143,0.435444033310608,0.995434693724267,-0.0680018919587352,-0.122971803409618,0.741887325173074,0.902112584486774,-0.906613207211456,0.081974053882239,1,-0.182932708637415,0.899611013098053,0.908903378203962,-0.556645875634364,-0.128845797233245,0.719946407500601,-0.235489669997884
"E出O入",-0.00980893441374356,0.0722078827835542,0.146953789804172,0.0696054254710098,-0.410733033956425,0.385118171696884,-0.177235547831407,0.0427841076352375,0.0620280739171955,0.37839064585962,-0.223623355341773,-0.197095318075866,-0.0856746338048398,-0.101634372596116,-0.223623355341773,0.983200221156124,0.994205162667609,-0.00980893441374356,0.0722078827835542,0.146953789804172,0.0696054254710098,-0.182932708637415,1,-0.0322626375185184,0.0268950762724631,-0.0662761894437918,0.252821754158274,-0.413292272918084,0.989489828098566
"O均温",0.936135531396263,0.959102853803815,-0.729670242255882,0.0499936754373664,0.739627376497099,0.353629893907837,0.901270606810931,0.972773762825063,-0.734947379746749,0.119035354071353,0.870946404909715,0.972173747304128,0.949734062956302,0.142087182467123,0.870946404909715,0.0237501368813152,-0.00837091986971283,0.936135531396263,0.959102853803815,-0.729670242255882,0.0499936754373664,0.899611013098053,-0.0322626375185184,1,0.93507309072154,-0.430208305113795,-0.158746378234491,0.371064514368964,-0.0834672630534759
"O露点",0.800483308061259,0.920966487346492,-0.788565633347273,-0.124463303539897,0.783568421938608,0.219026835385105,0.8124532489974,0.896972722066943,-0.783663680069984,0.0201636722725434,0.890323499011571,0.890403455045001,0.968819591143029,0.231604101433798,0.890323499011571,0.0886380376014769,0.055900004615665,0.800483308061259,0.920966487346492,-0.788565633347273,-0.124463303539897,0.908903378203962,0.0268950762724631,0.93507309072154,1,-0.595393450177176,-0.0626103739917787,0.497118167555154,-0.0127221490251285
"O风速",-0.305716886778558,-0.433567723324123,0.69494364609956,0.653282592952254,-0.59871291017778,0.226724437328513,-0.446207054054815,-0.428051730195109,0.725272890920586,0.290605710940013,-0.584797237037828,-0.368844419087329,-0.509785551137931,0.110205150568855,-0.584797237037828,-0.0971707481168674,-0.111848158186806,-0.305716886778558,-0.433567723324123,0.69494364609956,0.653282592952254,-0.556645875634364,-0.0662761894437918,-0.430208305113795,-0.595393450177176,1,0.403414477192581,-0.591158200350203,-0.134120721177036
"O云盖",-0.0959691085440497,-0.0477554859943657,0.386002295762695,0.393896925379662,-0.170889852926994,0.0746533655473165,-0.149547979224434,-0.0929677045719519,0.335373433632929,0.287997776027952,-0.1173998236501,-0.0998008704620023,-0.0420237084683733,0.472249050854888,-0.1173998236501,0.28625942322161,0.258926866710849,-0.0959691085440497,-0.0477554859943657,0.386002295762695,0.393896925379662,-0.128845797233245,0.252821754158274,-0.158746378234491,-0.0626103739917787,0.403414477192581,1,-0.0996941198843345,0.169109102635907
"O蒸发",0.151786662849003,0.395765354242302,-0.793868308293472,-0.0839393498105265,0.861512539085836,-0.0630639532514261,0.306865577195162,0.389630349354162,-0.678209039900576,0.0650793152279912,0.767082787744504,0.403565146229385,0.54291825238647,0.616110539197229,0.767082787744504,-0.280612674840408,-0.323906308700704,0.151786662849003,0.395765354242302,-0.793868308293472,-0.0839393498105265,0.719946407500601,-0.413292272918084,0.371064514368964,0.497118167555154,-0.591158200350203,-0.0996941198843345,1,-0.432914067716942
"O出",-0.053386953142327,0.0114953457306602,0.166266234060531,-0.0486326785592198,-0.443348390612347,0.295569509668307,-0.200283008920913,-0.0154337120527033,0.0698069563655777,0.281190084914446,-0.271751204255285,-0.250848349473118,-0.139968388547313,-0.20957899488738,-0.271751204255285,0.958029183703391,0.97924889682998,-0.053386953142327,0.0114953457306602,0.166266234060531,-0.0486326785592198,-0.235489669997884,0.989489828098566,-0.0834672630534759,-0.0127221490251285,-0.134120721177036,0.169109102635907,-0.432914067716942,1
