"","S均温","S露点","S风速","S云盖","S水温","S出MH入","M均温","M露点","M风速","M云盖","M水温","H均温","H露点","H云盖","H水温","MH出","E入","E均温","E露点","E风速","E云盖","E水温","E出O入","O均温","O露点","O风速","O云盖","O蒸发","O出"
"S均温",1,0.974720851161873,-0.85277657956213,-0.780261871219531,0.956433595559874,-0.275441666323011,0.995530258327973,0.987515144100609,-0.742644212388916,-0.873325260499229,0.989500262443044,0.996234414774274,0.985676207617863,-0.82294858379406,0.989500262443044,-0.285243661913783,-0.471605807108503,1,0.974720851161873,-0.85277657956213,-0.780261871219531,0.968531509563591,-0.277498656600929,0.991660217463129,0.981262147246281,-0.875875882259004,-0.813190245567732,-0.537818755870572,-0.0384843671233979
"S露点",0.974720851161873,1,-0.828453644456774,-0.659987487213218,0.895291278898309,-0.176430805937852,0.959955373384875,0.990387118403102,-0.734003439857061,-0.762078086684934,0.942079377858258,0.965900411035415,0.992599367313999,-0.689456294093264,0.942079377858258,-0.210526674035273,-0.379856774939795,0.974720851161873,1,-0.828453644456774,-0.659987487213218,0.906475581268209,-0.207616216393108,0.96231192272564,0.984520128653263,-0.894475217099547,-0.709316711944587,-0.635793984300495,0.0723660198012884
"S风速",-0.85277657956213,-0.828453644456774,1,0.706120320461584,-0.831423829614747,0.141045492731634,-0.824613215191283,-0.809659011686651,0.879118411611573,0.740823492246354,-0.887276564546876,-0.846372342814659,-0.808807407196776,0.749610042223796,-0.887276564546876,0.31721793755517,0.449725884266506,-0.85277657956213,-0.828453644456774,1,0.706120320461584,-0.86623120300425,0.453316447682277,-0.852770094644228,-0.858577985896305,0.916397433204104,0.73356193497947,0.62936767743405,0.311215885115281
"S云盖",-0.780261871219531,-0.659987487213218,0.706120320461584,1,-0.906798518450995,0.71811980062204,-0.807352131402937,-0.726692586263365,0.441631971225076,0.921072216161184,-0.822609072348724,-0.776823650851064,-0.703886729717926,0.914488669101006,-0.822609072348724,0.720582843489638,0.840630791839532,-0.780261871219531,-0.659987487213218,0.706120320461584,1,-0.777562130914712,0.683727530524764,-0.741217227367676,-0.687770867183151,0.655691339524417,0.926186906016533,0.0336056670335552,0.506575303999213
"S水温",0.956433595559874,0.895291278898309,-0.831423829614747,-0.906798518450995,1,-0.466452941507712,0.96723408341753,0.936697815301614,-0.677185521270294,-0.939780869728794,0.966231239755774,0.95012253531576,0.926737423847921,-0.892751427326901,0.966231239755774,-0.512102625821382,-0.663487101904589,0.956433595559874,0.895291278898309,-0.831423829614747,-0.906798518450995,0.924153762203016,-0.505577996284516,0.922598509876711,0.900560267135346,-0.859813131424629,-0.923866069676605,-0.312157627903464,-0.244328341370257
"S出MH入",-0.275441666323011,-0.176430805937852,0.141045492731634,0.71811980062204,-0.466452941507712,1,-0.30806415985018,-0.244356063040178,-0.218328147812919,0.555547481324442,-0.30944080745745,-0.260158132863816,-0.230027738980107,0.476755315759073,-0.30944080745745,0.884918809051717,0.893377137504147,-0.275441666323011,-0.176430805937852,0.141045492731634,0.71811980062204,-0.229738069414471,0.723400913465467,-0.203996430947957,-0.205309188555471,0.145188655521451,0.479535324671149,-0.462007163607593,0.466460270381857
"M均温",0.995530258327973,0.959955373384875,-0.824613215191283,-0.807352131402937,0.96723408341753,-0.30806415985018,1,0.984634126638932,-0.708846559280399,-0.894876616356749,0.984083310883603,0.994979621038915,0.978670900353881,-0.850411153059019,0.984083310883603,-0.306820616531349,-0.496032102859328,0.995530258327973,0.959955373384875,-0.824613215191283,-0.807352131402937,0.961426288731167,-0.284213072587653,0.984476859812933,0.963327710760581,-0.854522395078711,-0.849107641598983,-0.474542189849936,-0.0438261737563626
"M露点",0.987515144100609,0.990387118403102,-0.809659011686651,-0.726692586263365,0.936697815301614,-0.244356063040178,0.984634126638932,1,-0.709699902670751,-0.82247510160867,0.958819232942409,0.981713636889608,0.997531735279681,-0.754961748940966,0.958819232942409,-0.266049680092937,-0.439695380797796,0.987515144100609,0.990387118403102,-0.809659011686651,-0.726692586263365,0.922476954766567,-0.247165444869054,0.969647890280583,0.974711771332694,-0.8820537730969,-0.783547261302792,-0.539812352886375,0.0358998767482948
"M风速",-0.742644212388916,-0.734003439857061,0.879118411611573,0.441631971225076,-0.677185521270294,-0.218328147812919,-0.708846559280399,-0.709699902670751,1,0.561062223390506,-0.759006285534311,-0.746821965135564,-0.722406962739312,0.596234862349959,-0.759006285534311,0.031495375092565,0.154821195002789,-0.742644212388916,-0.734003439857061,0.879118411611573,0.441631971225076,-0.771577278002439,0.204884079278577,-0.755301860722308,-0.751918096718459,0.795755428150314,0.558328449461675,0.693087677077283,0.130328977779255
"M云盖",-0.873325260499229,-0.762078086684934,0.740823492246354,0.921072216161184,-0.939780869728794,0.555547481324442,-0.894876616356749,-0.82247510160867,0.561062223390506,1,-0.904959553425748,-0.882897352712638,-0.817315933363652,0.966321434567593,-0.904959553425748,0.527334640686539,0.712114352294629,-0.873325260499229,-0.762078086684934,0.740823492246354,0.921072216161184,-0.886772499102686,0.480186525990522,-0.855361729909104,-0.817009456303278,0.715252473080659,0.893460099968406,0.124176935625011,0.205525712274549
"M水温",0.989500262443044,0.942079377858258,-0.887276564546876,-0.822609072348724,0.966231239755774,-0.30944080745745,0.984083310883603,0.958819232942409,-0.759006285534311,-0.904959553425748,1,0.983200915045309,0.955815308354816,-0.861883466118548,1,-0.324201156312522,-0.505024960364314,0.989500262443044,0.942079377858258,-0.887276564546876,-0.822609072348724,0.986554504370215,-0.343260525583018,0.983671074970613,0.963432305329712,-0.887604500595726,-0.846850387247854,-0.50549355055984,-0.138212046012668
"H均温",0.996234414774274,0.965900411035415,-0.846372342814659,-0.776823650851064,0.95012253531576,-0.260158132863816,0.994979621038915,0.981713636889608,-0.746821965135564,-0.882897352712638,0.983200915045309,1,0.98047233742338,-0.845917415431294,0.983200915045309,-0.270390179979512,-0.47046453815045,0.996234414774274,0.965900411035415,-0.846372342814659,-0.776823650851064,0.9655725691504,-0.251608074402794,0.992195655137803,0.978047504283436,-0.851940362209369,-0.81124086789285,-0.527160503822769,-0.00517866579447197
"H露点",0.985676207617863,0.992599367313999,-0.808807407196776,-0.703886729717926,0.926737423847921,-0.230027738980107,0.978670900353881,0.997531735279681,-0.722406962739312,-0.817315933363652,0.955815308354816,0.98047233742338,1,-0.742732171312815,0.955815308354816,-0.254320468601892,-0.430859262628314,0.985676207617863,0.992599367313999,-0.808807407196776,-0.703886729717926,0.92127411342177,-0.233895318173061,0.968895804082813,0.982611729614477,-0.878328173459721,-0.752189710114708,-0.55367460672517,0.0687327366709998
"H云盖",-0.82294858379406,-0.689456294093264,0.749610042223796,0.914488669101006,-0.892751427326901,0.476755315759073,-0.850411153059019,-0.754961748940966,0.596234862349959,0.966321434567593,-0.861883466118548,-0.845917415431294,-0.742732171312815,1,-0.861883466118548,0.478812286890372,0.673351481328746,-0.82294858379406,-0.689456294093264,0.749610042223796,0.914488669101006,-0.858969293622307,0.449354836354767,-0.819958534702837,-0.750492598593513,0.646142627802068,0.900468315156796,0.135393347943141,0.274551381157237
"H水温",0.989500262443044,0.942079377858258,-0.887276564546876,-0.822609072348724,0.966231239755774,-0.30944080745745,0.984083310883603,0.958819232942409,-0.759006285534311,-0.904959553425748,1,0.983200915045309,0.955815308354816,-0.861883466118548,1,-0.324201156312522,-0.505024960364314,0.989500262443044,0.942079377858258,-0.887276564546876,-0.822609072348724,0.986554504370215,-0.343260525583018,0.983671074970613,0.963432305329712,-0.887604500595726,-0.846850387247854,-0.50549355055984,-0.138212046012668
"MH出",-0.285243661913783,-0.210526674035273,0.31721793755517,0.720582843489638,-0.512102625821382,0.884918809051717,-0.306820616531349,-0.266049680092937,0.031495375092565,0.527334640686539,-0.324201156312522,-0.270390179979512,-0.254320468601892,0.478812286890372,-0.324201156312522,1,0.960957657992886,-0.285243661913783,-0.210526674035273,0.31721793755517,0.720582843489638,-0.211495528888401,0.939700989319649,-0.189008086103132,-0.218679143767991,0.302000501803295,0.53293748477024,-0.381382165301102,0.635276806860972
"E入",-0.471605807108503,-0.379856774939795,0.449725884266506,0.840630791839532,-0.663487101904589,0.893377137504147,-0.496032102859328,-0.439695380797796,0.154821195002789,0.712114352294629,-0.505024960364314,-0.47046453815045,-0.430859262628314,0.673351481328746,-0.505024960364314,0.960957657992886,1,-0.471605807108503,-0.379856774939795,0.449725884266506,0.840630791839532,-0.408585731465088,0.867363005356005,-0.393826734257719,-0.410889596127308,0.401095907680921,0.652622346321343,-0.272960405345224,0.521278186960663
"E均温",1,0.974720851161873,-0.85277657956213,-0.780261871219531,0.956433595559874,-0.275441666323011,0.995530258327973,0.987515144100609,-0.742644212388916,-0.873325260499229,0.989500262443044,0.996234414774274,0.985676207617863,-0.82294858379406,0.989500262443044,-0.285243661913783,-0.471605807108503,1,0.974720851161873,-0.85277657956213,-0.780261871219531,0.968531509563591,-0.277498656600929,0.991660217463129,0.981262147246281,-0.875875882259004,-0.813190245567732,-0.537818755870572,-0.0384843671233979
