"","S均温","S露点","S风速","S云盖","S水温","S出MH入","M均温","M露点","M风速","M云盖","M水温","H均温","H露点","H云盖","H水温","MH出","E入","E均温","E露点","E风速","E云盖","E水温","E出O入","O均温","O露点","O风速","O云盖","O蒸发","O出"
"S均温",1,0.99356836521815,-0.484311481857716,-0.624233235386516,0.922763144263131,0.300131591742157,0.987549106425311,0.962612233302378,-0.564601339888759,-0.642258166777497,0.968779212517033,0.994246904222024,0.984064034833371,-0.753717538805006,0.968779212517033,0.193431069527606,0.135381676821752,1,0.99356836521815,-0.484311481857716,-0.624233235386516,0.98704515625217,0.092137329208539,0.992327220547809,0.986939671419228,-0.531751760234304,-0.788986326888583,0.297757059178283,0.315425212667485
"S露点",0.99356836521815,1,-0.498619916939959,-0.600554402690653,0.937476777197387,0.317142118699822,0.986305589570391,0.977590321181763,-0.602995973046282,-0.594922737073055,0.980017231940007,0.99116822236885,0.993618392381896,-0.727060045721816,0.980017231940007,0.159811302582212,0.101497753851422,0.99356836521815,1,-0.498619916939959,-0.600554402690653,0.992917226886333,0.0496065041857285,0.980225965720325,0.984544334559556,-0.558611589754572,-0.770222084132474,0.313025917171346,0.267767593869618
"S风速",-0.484311481857716,-0.498619916939959,1,0.545838137044796,-0.680452922315039,0.0516648237870491,-0.534848725055056,-0.538278481062489,0.935420487647393,0.366500462726859,-0.635171264919197,-0.501184675387664,-0.512760249774572,0.448210503320986,-0.635171264919197,0.299638637088011,0.345345045597804,-0.484311481857716,-0.498619916939959,1,0.545838137044796,-0.580930913270838,0.3261506171542,-0.472250731315641,-0.454108945824383,0.980034117657207,0.73486307281804,-0.93100652282636,0.281354527148136
"S云盖",-0.624233235386516,-0.600554402690653,0.545838137044796,1,-0.574709104264881,-0.414121183115431,-0.697003655626617,-0.697651211586632,0.510208964668347,0.775454074717071,-0.594545558789528,-0.653588038497083,-0.63515797005975,0.811997060539225,-0.594545558789528,-0.238412804591798,-0.190453223269348,-0.624233235386516,-0.600554402690653,0.545838137044796,1,-0.586737216944289,-0.230333998359241,-0.583153924014326,-0.528837660452128,0.504236461305999,0.891377546842199,-0.333552390838742,-0.223195116602568
"S水温",0.922763144263131,0.937476777197387,-0.680452922315039,-0.574709104264881,1,0.145496561172003,0.945788451660968,0.941459702163312,-0.767206664419921,-0.614355746473134,0.982423538843184,0.943450127078365,0.953498502744295,-0.746519151570002,0.982423538843184,-0.126107705054393,-0.190527067042275,0.922763144263131,0.937476777197387,-0.680452922315039,-0.574709104264881,0.959064570085327,-0.233799571095455,0.918929438116464,0.926622001085788,-0.737477102630634,-0.828336031472388,0.528943964838455,-0.0281562794169362
"S出MH入",0.300131591742157,0.317142118699822,0.0516648237870491,-0.414121183115431,0.145496561172003,1,0.283751372828343,0.356168001831041,-0.0278295626392696,-0.220458234434411,0.210283371379232,0.274791932627136,0.29904795319305,-0.286407962932007,0.210283371379232,0.78832887337806,0.765823703265273,0.300131591742157,0.317142118699822,0.0516648237870491,-0.414121183115431,0.259668712436133,0.729155077060645,0.188813138331071,0.182746770283179,0.107027135829789,-0.208573454805403,-0.099140546299185,0.669446376319399
"M均温",0.987549106425311,0.986305589570391,-0.534848725055056,-0.697003655626617,0.945788451660968,0.283751372828343,1,0.986395564411491,-0.618963968047331,-0.684645919080122,0.975113744472935,0.997389850912443,0.993448658399513,-0.801267830007547,0.975113744472935,0.109950506751785,0.0491912451356626,0.987549106425311,0.986305589570391,-0.534848725055056,-0.697003655626617,0.979143637951203,0.0124411185648385,0.977313293023614,0.971153764106215,-0.583902373202643,-0.847800565173657,0.338858367404638,0.21340870395279
"M露点",0.962612233302378,0.977590321181763,-0.538278481062489,-0.697651211586632,0.941459702163312,0.356168001831041,0.986395564411491,1,-0.644919177608177,-0.622743579271095,0.965984075765084,0.978466327668457,0.991833113361144,-0.765189373178994,0.965984075765084,0.104945624853324,0.0430858269652764,0.962612233302378,0.977590321181763,-0.538278481062489,-0.697651211586632,0.964656046659903,-0.00183508597151959,0.937986941069929,0.940283787526168,-0.594134128777831,-0.829979866276839,0.347536894626939,0.175923689192182
"M风速",-0.564601339888759,-0.602995973046282,0.935420487647393,0.510208964668347,-0.767206664419921,-0.0278295626392696,-0.618963968047331,-0.644919177608177,1,0.401020463974031,-0.732484918292439,-0.587620779220151,-0.620729615220758,0.513679134901655,-0.732484918292439,0.334305694983886,0.375529965391946,-0.564601339888759,-0.602995973046282,0.935420487647393,0.510208964668347,-0.671233827861171,0.387668183875774,-0.545079706976436,-0.559059021167881,0.963490554536588,0.685884523154297,-0.840947044172877,0.323562394894728
"M云盖",-0.642258166777497,-0.594922737073055,0.366500462726859,0.775454074717071,-0.614355746473134,-0.220458234434411,-0.684645919080122,-0.622743579271095,0.401020463974031,1,-0.60439163721768,-0.671684587192345,-0.622556392501564,0.971558320832918,-0.60439163721768,-0.10618402801855,-0.064157057206142,-0.642258166777497,-0.594922737073055,0.366500462726859,0.775454074717071,-0.591237642772964,-0.0892915706716321,-0.64420433298246,-0.606871074761162,0.352275231412082,0.784741744879534,-0.154000737580129,-0.174109908248963
"M水温",0.968779212517033,0.980017231940007,-0.635171264919197,-0.594545558789528,0.982423538843184,0.210283371379232,0.975113744472935,0.965984075765084,-0.732484918292439,-0.60439163721768,1,0.975041789972009,0.981200705947646,-0.736696585474162,1,0.0021149812912827,-0.0577706860940752,0.968779212517033,0.980017231940007,-0.635171264919197,-0.594545558789528,0.993353075964389,-0.104029334139861,0.961713676481333,0.96858059599734,-0.695105436746445,-0.808592900009727,0.463058911436455,0.109220937618766
"H均温",0.994246904222024,0.99116822236885,-0.501184675387664,-0.653588038497083,0.943450127078365,0.274791932627136,0.997389850912443,0.978466327668457,-0.587620779220151,-0.671684587192345,0.975041789972009,1,0.993635522719888,-0.786806782703371,0.975041789972009,0.123796710700289,0.0634481844735086,0.994246904222024,0.99116822236885,-0.501184675387664,-0.653588038497083,0.983441618070866,0.0222803063904929,0.987559966808718,0.983256061648259,-0.553425479824714,-0.820491836255524,0.309423411189123,0.238178689518585
"H露点",0.984064034833371,0.993618392381896,-0.512760249774572,-0.63515797005975,0.953498502744295,0.29904795319305,0.993448658399513,0.991833113361144,-0.620729615220758,-0.622556392501564,0.981200705947646,0.993635522719888,1,-0.757849463772886,0.981200705947646,0.0952717204548532,0.0345166188885891,0.984064034833371,0.993618392381896,-0.512760249774572,-0.63515797005975,0.984434586638205,-0.0145698442641701,0.97055906803252,0.974967546399836,-0.575305446604958,-0.802687333802078,0.324339028480028,0.193143990887701
"H云盖",-0.753717538805006,-0.727060045721816,0.448210503320986,0.811997060539225,-0.746519151570002,-0.286407962932007,-0.801267830007547,-0.765189373178994,0.513679134901655,0.971558320832918,-0.736696585474162,-0.786806782703371,-0.757849463772886,1,-0.736696585474162,-0.0935450070027232,-0.0410355304990322,-0.753717538805006,-0.727060045721816,0.448210503320986,0.811997060539225,-0.720331426977031,-0.0472839432373973,-0.745158707718133,-0.720423582218683,0.461175447021611,0.859078705678762,-0.206363541437769,-0.153031331636653
"H水温",0.968779212517033,0.980017231940007,-0.635171264919197,-0.594545558789528,0.982423538843184,0.210283371379232,0.975113744472935,0.965984075765084,-0.732484918292439,-0.60439163721768,1,0.975041789972009,0.981200705947646,-0.736696585474162,1,0.0021149812912827,-0.0577706860940752,0.968779212517033,0.980017231940007,-0.635171264919197,-0.594545558789528,0.993353075964389,-0.104029334139861,0.961713676481333,0.96858059599734,-0.695105436746445,-0.808592900009727,0.463058911436455,0.109220937618766
